Country,sum_migrants,pct_of_pop,Population,Region
Saint Lucia,55286,0.30210929,183000,Latin America and the Caribbean
Saint Pierre and Miquelon,431,0.071833333,6000,Northern America
Saint Vincent and the Grenadines,64482,0.580918919,111000,Latin America and the Caribbean
Samoa,108166,0.54906599,197000,Oceania
San Marino,2425,0.071323529,34000,Europe
Sao Tome and Principe,37013,0.172153488,215000,Africa
Saudi Arabia,303904,0.00886819,34269000,Asia
Senegal,648668,0.039805351,16296000,Africa
Serbia,964613,0.109965002,8772000,Europe
Seychelles,29921,0.305316327,98000,Africa
Sierra Leone,154977,0.019835787,7813000,Africa
Singapore,352236,0.060688491,5804000,Asia
Sint Maarten  Dutch part ,25657,NA,NA,Latin America and the Caribbean
Slovakia,357799,0.065566978,5457000,Europe
Slovenia,143805,0.069170274,2079000,Europe
Solomon Islands,4163,0.006213433,670000,Oceania
Somalia,2068097,0.133918086,15443000,Africa
South Africa,862228,0.014724342,58558000,Africa
South Sudan,2585218,0.233702585,11062000,Africa
Spain,1403645,0.030032843,46737000,Europe
Sri Lanka,1919279,0.090005581,21324000,Asia
State of Palestine,3854370,0.773814495,4981000,Asia
Sudan,2040783,0.047667367,42813000,Africa
Suriname,246052,0.423497418,581000,Latin America and the Caribbean
Sweden,359606,0.035831606,10036000,Europe
Switzerland,699085,0.081374112,8591000,Europe
Syrian Arab Republic,8274414,0.484734271,17070000,Asia
Tajikistan,579149,0.062133784,9321000,Asia
Thailand,977429,0.014038276,69626000,Asia
Timor-Leste,39202,0.030318639,1293000,Asia
Togo,530849,0.065682876,8082000,Africa
Tokelau,2222,2.222,1000,Oceania
Tonga,62297,0.599009615,104000,Oceania
Trinidad and Tobago,396869,0.284493907,1395000,Latin America and the Caribbean
Tunisia,830961,0.071052672,11695000,Africa
Turkey,3452333,0.041379995,83430000,Asia
Turkmenistan,242863,0.040872265,5942000,Asia
Turks and Caicos Islands,2670,0.070263158,38000,Latin America and the Caribbean
Tuvalu,3158,0.263166667,12000,Oceania
Uganda,748489,0.016907364,44270000,Africa
Ukraine,5978715,0.135898418,43994000,Europe
United Arab Emirates,162747,0.016656125,9771000,Asia
United Kingdom,4617657,0.068379343,67530000,Europe
United Republic of Tanzania,322818,0.005565348,58005000,Africa
United States of America,2693485,0.008185267,329065000,Northern America
United States Virgin Islands,3166,0.030152381,105000,Latin America and the Caribbean
Uruguay,371169,0.107212305,3462000,Latin America and the Caribbean
Uzbekistan,1986227,0.060221545,32982000,Asia
Vanuatu,3298,0.010993333,300000,Oceania
Venezuela  Bolivarian Republic of ,2525755,NA,NA,Latin America and the Caribbean
Viet Nam,3079310,0.031922519,96462000,Asia
Wallis and Futuna Islands,16,0.001454545,11000,Oceania
Western Sahara,195572,0.336034364,582000,Africa
Yemen,1241660,0.042578012,29162000,Asia
Zambia,317434,0.017772465,17861000,Africa
Zimbabwe,941670,0.064299761,14645000,Africa
