hdi,year,total,stock,share
Very High,2010,disp_share,0.034718256627451836,TRUE
Very High,2015,emi,62.258856,FALSE
Very High,2015,imm,167.363711,FALSE
Very High,2015,fb,175.509629,FALSE
Very High,2015,pop,1398.429122,FALSE
Very High,2015,disp,63.003992,FALSE
Very High,2015,imm_share,0.1196797952552936,TRUE
Very High,2015,emi_share,0.04452056598403705,TRUE
Very High,2015,fb_share,0.12550484414182558,TRUE
Very High,2015,disp_share,0.045053403857818114,TRUE
Very High,2019,emi,72.126778,FALSE
Very High,2019,imm,191.499717,FALSE
Very High,2019,fb,200.645581,FALSE
Very High,2019,pop,1539.246843,FALSE
Very High,2019,disp,72.883475,FALSE
Very High,2019,imm_share,0.12441131055157213,TRUE
Very High,2019,emi_share,0.04685848688143127,TRUE
Very High,2019,fb_share,0.13035308918285043,TRUE
Very High,2019,disp_share,0.04735008899414062,TRUE
