hdi,year,total,stepladder,share
Very High,2010,disp,43.256096,FALSE
Very High,2010,imm_share,0.11136840402291416,TRUE
Very High,2010,emi_share,0.03490372609786748,TRUE
Very High,2010,fb_share,0.11898551688161597,TRUE
Very High,2010,disp_share,0.03556616028912928,TRUE
Very High,2015,emi,64.416604,FALSE
Very High,2015,imm,165.49833,FALSE
Very High,2015,fb,179.826185,FALSE
Very High,2015,pop,1477.237666,FALSE
Very High,2015,disp,65.398594,FALSE
Very High,2015,imm_share,0.11203229771965481,TRUE
Very High,2015,emi_share,0.04178407912430327,TRUE
Very High,2015,fb_share,0.12173138360797794,TRUE
Very High,2015,disp_share,0.04239404692847036,TRUE
Very High,2020,emi,75.594902,FALSE
Very High,2020,imm,190.22935,FALSE
Very High,2020,fb,210.359404,FALSE
Very High,2020,pop,1568.97128,FALSE
Very High,2020,disp,76.768849,FALSE
Very High,2020,imm_share,0.12124463489223333,TRUE
Very High,2020,emi_share,0.04596646995870185,TRUE
Very High,2020,fb_share,0.13407473207540166,TRUE
Very High,2020,disp_share,0.04664700559173155,TRUE
