alpha3,name,country_code,year,fb,pop,fb_share,refugee,pob_code,disp,imm,disp_share
TKL,Tokelau*,772,2020,1238,1350,91.7037037037037,~,772,2112,NA,1.5644444444444445
TON,Tonga,776,1990,2911,95069,3.061986557132188,~,776,32665,NA,0.343592548569986
TON,Tonga,776,1995,3274,95972,3.411411661734673,~,776,38208,NA,0.3981161172008503
TON,Tonga,776,2000,3684,97962,3.7606418815459057,~,776,46444,NA,0.4741022028950001
TON,Tonga,776,2005,4301,100908,4.262298331153129,~,776,48337,NA,0.47902049391524953
TON,Tonga,776,2010,4607,103981,4.430617131976034,~,776,51521,NA,0.49548475202200404
TON,Tonga,776,2015,3954,100780,3.9233974995038694,~,776,59203,NA,0.5874479063306212
TON,Tonga,776,2020,3742,105697,3.540308618030786,~,776,74550,NA,0.7053180317322156
TUV,Tuvalu,798,1990,318,8910,3.5690235690235688,~,798,2350,NA,0.26374859708193044
TUV,Tuvalu,798,1995,263,9298,2.828565282856528,~,798,2738,NA,0.29447192944719297
TUV,Tuvalu,798,2000,218,9392,2.3211243611584327,~,798,2611,NA,0.27800255536626917
TUV,Tuvalu,798,2005,209,9997,2.090627188156447,~,798,2917,NA,0.2917875362608783
TUV,Tuvalu,798,2010,220,10521,2.091055983271552,~,798,3011,NA,0.2861895257104838
TUV,Tuvalu,798,2015,230,11099,2.072258762050635,~,798,3203,NA,0.28858455716731235
TUV,Tuvalu,798,2020,239,11792,2.026797829036635,~,798,3670,NA,0.3112279511533243
WLF,Wallis and Futuna Islands*,876,1990,1402,13794,10.16383935044222,~,876,6484,NA,0.47005944613600115
WLF,Wallis and Futuna Islands*,876,1995,1704,14147,12.044956527885772,~,876,6943,NA,0.49077542941966495
WLF,Wallis and Futuna Islands*,876,2000,2015,14697,13.710281009729878,~,876,7401,NA,0.5035721575831802
WLF,Wallis and Futuna Islands*,876,2005,2191,14937,14.668273415009708,~,876,7436,NA,0.4978241949521323
WLF,Wallis and Futuna Islands*,876,2010,2111,12686,16.640390982185085,~,876,7465,NA,0.5884439539650008
WLF,Wallis and Futuna Islands*,876,2015,2050,12262,16.718316750937856,~,876,11227,NA,0.9155928885989235
WLF,Wallis and Futuna Islands*,876,2020,2040,11246,18.139783033967632,~,876,11917,NA,1.0596656589009426
