name,country_code,year,pop,alpha3
Eritrea,232,2015,3342.818,ERI
Eritrea,232,2020,3546.427,ERI
Ethiopia,231,1990,47887.864,ETH
Ethiopia,231,1995,57047.906,ETH
Ethiopia,231,2000,66224.809,ETH
Ethiopia,231,2005,76346.31,ETH
Ethiopia,231,2010,87639.962,ETH
Ethiopia,231,2015,100835.453,ETH
Ethiopia,231,2020,114963.583,ETH
Kenya,404,1990,23724.574,KEN
Kenya,404,1995,27768.297,KEN
Kenya,404,2000,31964.557,KEN
Kenya,404,2005,36624.897,KEN
Kenya,404,2010,42030.684,KEN
Kenya,404,2015,47878.339,KEN
Kenya,404,2020,53771.3,KEN
Madagascar,450,1990,11598.647,MDG
Madagascar,450,1995,13475.403,MDG
Madagascar,450,2000,15766.806,MDG
Madagascar,450,2005,18336.722,MDG
Madagascar,450,2010,21151.64,MDG
Madagascar,450,2015,24234.08,MDG
Madagascar,450,2020,27691.019,MDG
Malawi,454,1990,9404.499,MWI
Malawi,454,1995,9844.418,MWI
Malawi,454,2000,11148.751,MWI
Malawi,454,2005,12625.95,MWI
Malawi,454,2010,14539.609,MWI
Malawi,454,2015,16745.305,MWI
Malawi,454,2020,19129.955,MWI
Mauritius*,480,1990,1055.869,MUS
Mauritius*,480,1995,1128.676,MUS
Mauritius*,480,2000,1185.147,MUS
Mauritius*,480,2005,1222.01,MUS
Mauritius*,480,2010,1247.953,MUS
Mauritius*,480,2015,1259.457,MUS
Mauritius*,480,2020,1271.767,MUS
Mayotte*,175,1990,94.779,MYT
Mayotte*,175,1995,123.186,MYT
Mayotte*,175,2000,150.331,MYT
Mayotte*,175,2005,178.103,MYT
Mayotte*,175,2010,208.716,MYT
Mayotte*,175,2015,240.011,MYT
Mayotte*,175,2020,272.813,MYT
Mozambique,508,1990,12987.292,MOZ
Mozambique,508,1995,15483.277,MOZ
Mozambique,508,2000,17711.925,MOZ
Mozambique,508,2005,20493.927,MOZ
Mozambique,508,2010,23531.567,MOZ
Mozambique,508,2015,27042.001,MOZ
Mozambique,508,2020,31255.435,MOZ
Réunion*,638,1990,610.584,REU
Réunion*,638,1995,673.543,REU
Réunion*,638,2000,736.714,REU
Réunion*,638,2005,791.598,REU
Réunion*,638,2010,830.507,REU
Réunion*,638,2015,863.359,REU
Réunion*,638,2020,895.308,REU
Rwanda,646,1990,7288.883,RWA
Rwanda,646,1995,5836.49,RWA
Rwanda,646,2000,7933.688,RWA
Rwanda,646,2005,8840.22,RWA
Rwanda,646,2010,10039.338,RWA
Rwanda,646,2015,11369.066,RWA
Rwanda,646,2020,12952.209,RWA
Seychelles,690,1990,70.572,SYC
Seychelles,690,1995,76.653,SYC
Seychelles,690,2000,80.998,SYC
Seychelles,690,2005,88.652,SYC
Seychelles,690,2010,91.273,SYC
Seychelles,690,2015,94.981,SYC
Seychelles,690,2020,98.34,SYC
Somalia,706,1990,7225.089,SOM
Somalia,706,1995,7491.647,SOM
Somalia,706,2000,8872.25,SOM
Somalia,706,2005,10446.856,SOM
Somalia,706,2010,12043.886,SOM
Somalia,706,2015,13797.204,SOM
Somalia,706,2020,15893.219,SOM
South Sudan,728,1990,5492.62,SSD
South Sudan,728,1995,5118.084,SSD
South Sudan,728,2000,6199.396,SSD
South Sudan,728,2005,7535.931,SSD
South Sudan,728,2010,9508.372,SSD
South Sudan,728,2015,10715.657,SSD
South Sudan,728,2020,11193.729,SSD
Uganda,800,1990,17354.395,UGA
Uganda,800,1995,20413.157,UGA
Uganda,800,2000,23650.159,UGA
Uganda,800,2005,27684.59,UGA
Uganda,800,2010,32428.164,UGA
Uganda,800,2015,38225.447,UGA
Uganda,800,2020,45741,UGA
United Republic of Tanzania*,834,1990,25203.848,TZA
United Republic of Tanzania*,834,1995,29649.128,TZA
United Republic of Tanzania*,834,2000,33499.177,TZA
United Republic of Tanzania*,834,2005,38450.323,TZA
United Republic of Tanzania*,834,2010,44346.532,TZA
United Republic of Tanzania*,834,2015,51482.638,TZA
United Republic of Tanzania*,834,2020,59734.213,TZA
Zambia,894,1990,8036.849,ZMB
Zambia,894,1995,9096.608,ZMB
Zambia,894,2000,10415.942,ZMB
