alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
WLF,Wallis and Futuna Islands,876,2015,1052,12266,8.576553073536605,0,11225,1052,0.9151312571335398
WLF,Wallis and Futuna Islands,876,2019,1022,11432,8.939818054583624,0,11820,1022,1.0339398180545836
NA,EUROPE AND NORTHERN AMERICA,1829,1990,77218639,1000643709,7.716896464293866,1933520,NA,77218639,NA
NA,EUROPE AND NORTHERN AMERICA,1829,1995,86830777,1021448006,8.500753488180973,3792129,NA,86830777,NA
NA,EUROPE AND NORTHERN AMERICA,1829,2000,97210482,1037984809,9.365308736421017,3492605,NA,97210482,NA
NA,EUROPE AND NORTHERN AMERICA,1829,2005,108958079,1056574997.0000002,10.31238476297201,2558595,NA,108958079,NA
NA,EUROPE AND NORTHERN AMERICA,1829,2010,121648886,1079700408,11.2669111819026,2176698,NA,121648886,NA
NA,EUROPE AND NORTHERN AMERICA,1829,2015,130641662,1100090082.9999998,11.875542195938513,3535382,NA,130641662,NA
NA,EUROPE AND NORTHERN AMERICA,1829,2019,140952361,1113783714.9999998,12.655272213241151,4682013,NA,140952361,NA
NA,EUROPE,917,1990,49608231,720858449.9999999,6.881826938423211,1323376,NA,49608231,NA
NA,EUROPE,917,1995,53489829,726994464,7.357666619040444,3016710,NA,53489829,NA
NA,EUROPE,917,2000,56858788,725558036.0000002,7.836559610511982,2472899,NA,56858788,NA
NA,EUROPE,917,2005,63594822,729287846.0000001,8.720126401228958,1862341,NA,63594822,NA
NA,EUROPE,917,2010,70678025,736412989.0000001,9.597607056873894,1750314,NA,70678025,NA
NA,EUROPE,917,2015,75008219,743059034.9999999,10.094516783582344,2820482,NA,75008219,NA
NA,EUROPE,917,2019,82304539,747182750.9999998,11.015315716248383,3595669,NA,82304539,NA
NA,Eastern Europe,923,1990,21995312,309808641,7.0996444543972546,45774,NA,21995312,NA
NA,Eastern Europe,923,1995,21344124,309435121,6.897770340684761,52683,NA,21344124,NA
NA,Eastern Europe,923,2000,20435785,303918418,6.724102189818585,45370,NA,20435785,NA
NA,Eastern Europe,923,2005,19744557,297500538,6.636813880316412,34195,NA,19744557,NA
NA,Eastern Europe,923,2010,19110686,294872854,6.480991973577874,48262,NA,19110686,NA
NA,Eastern Europe,923,2015,19841537,294390745,6.7398643934951155,421850,NA,19841537,NA
NA,Eastern Europe,923,2019,20278745,293444913,6.910579840244155,194230,NA,20278745,NA
BLR,Belarus,112,1990,1248977,10151134,12.30381748482485,NA,1767606,1248977,0.17412891998076274
BLR,Belarus,112,1995,1186282,10077608,11.771464022017923,28988,1736499,1186282,0.1723126162478239
BLR,Belarus,112,2000,1123586,9871632,11.381968047431267,869,1685652,1123586,0.17075717571319515
BLR,Belarus,112,2005,1106982,9562088,11.57678113817819,781,1581211,1106982,0.1653625233317242
BLR,Belarus,112,2010,1090378,9420574,11.574432725649201,655,1465141,1090378,0.15552566117521077
BLR,Belarus,112,2015,1082905,9439423,11.472152482201507,2088,1472236,1082905,0.15596673652616266
BLR,Belarus,112,2019,1069395,9452411,11.313462776851324,2408,1480838,1069395,0.15666246421151175
BGR,Bulgaria,100,1990,21510,8841458,0.24328566623287698,0,613093,21510,0.06934297488038738
BGR,Bulgaria,100,1995,32435,8379308.000000001,0.3870844704598518,1320,649577,32435,0.07752155667269897
BGR,Bulgaria,100,2000,43360,7997957,0.5421384486063128,2790,688832,43360,0.0861259944258265
BGR,Bulgaria,100,2005,61074,7686962,0.7945141396562126,5218,906520,61074,0.11792955396423191
BGR,Bulgaria,100,2010,76287,7425008,1.0274332364355703,6942,1106684,76287,0.1490481895777082
BGR,Bulgaria,100,2015,123803,7199741,1.7195479670727043,26056,1155799,123803,0.16053341363251816
BGR,Bulgaria,100,2019,168516,7000119,2.4073305039528616,21818,1541931,168516,0.22027211251694437
CZE,Czechia,203,1990,110394,10340875,1.0675498930216254,NA,277260,110394,0.026812044435311325
CZE,Czechia,203,1995,165592,10358193,1.5986572175281926,2655,333356,165592,0.03218283343436447
CZE,Czechia,203,2000,220789,10289373,2.145796444545261,1209,400971,220789,0.038969429915700404
CZE,Czechia,203,2005,322540,10258167,3.1442264490332437,1829,607009,322540,0.059173242159149875
CZE,Czechia,203,2010,398493,10536518,3.7820179304016754,2449,782250,398493,0.07424179411072994
CZE,Czechia,203,2015,416454,10601397,3.928293601305563,4303,836816,416454,0.0789345026886551
CZE,Czechia,203,2019,512705,10689209,4.796472779229969,4455,911469,512705,0.085270013899064
HUN,Hungary,348,1990,347510,10377137,3.3488042029318876,45123,387514,347510,0.03734305521840947
HUN,Hungary,348,1995,322234,10349302,3.1135819594403564,11394,404699,322234,0.0391039898149653
HUN,Hungary,348,2000,296957,10220507,2.905501654663511,6698,421411,296957,0.04123190757562223
HUN,Hungary,348,2005,366787,10085937,3.6366179959283906,8730,468156,366787,0.046416708730185406
HUN,Hungary,348,2010,436616,9927370,4.3981034251770605,5781,513838,436616,0.051759730925713454
HUN,Hungary,348,2015,475508,9777923,4.863077772242632,41086,554915,475508,0.05675182756092475
HUN,Hungary,348,2019,512043,9684679,5.287144777849632,6272,632269,512043,0.06528548855362165
POL,Poland,616,1990,1127771,37960193,2.9709306272494453,0,1510415,1127771,0.039789444695394464
POL,Poland,616,1995,964725,38458638,2.508474169054037,600,1776628,964725,0.04619581171855332
POL,Poland,616,2000,825251,38556693,2.140357317470147,1020,2048371,825251,0.053126210798213426
POL,Poland,616,2005,722509,38368949,1.883056530946417,6231,2887741,722509,0.07526244724607911
POL,Poland,616,2010,642417,38329781,1.6760257513602803,17681,3731041,642417,0.09734052485194215
POL,Poland,616,2015,619403,38034079,1.6285473877256238,17368,4120574,619403,0.10833899777092013
POL,Poland,616,2019,655985,37887768,1.7313899303859759,15037,4571556,655985,0.1206604727942802
MDA,Republic of Moldova,498,1990,544162,4365564,12.464872809103245,NA,625683,544162,0.14332237484091404
MDA,Republic of Moldova,498,1995,367231,4340597,8.46037998920425,0,620036,367231,0.14284578826368816
MDA,Republic of Moldova,498,2000,247828,4202658,5.896934749389553,266,602782,247828,0.14342875389812829
MDA,Republic of Moldova,498,2005,171122,4159292.9999999995,4.114208833087739,232,715599,171122,0.17204823031221894
MDA,Republic of Moldova,498,2010,129488,4086081,3.1690022787115573,229,827763,129488,0.20258115294337042
MDA,Republic of Moldova,498,2015,106374,4070700,2.6131623553688557,556,926478,106374,0.2275967278355074
MDA,Republic of Moldova,498,2019,104713,4043263,2.58981421688374,423,1029526,104713,0.25462751248187415
ROU,Romania,642,1990,135825,23489160,0.5782454544990114,651,813066,135825,0.03461452005946573
ROU,Romania,642,1995,135037,22964754,0.5880184912932227,194,977495,135037,0.04256501071163227
ROU,Romania,642,2000,134254,22137419,0.6064573291041742,1685,1139475,134254,0.051472802678577845
